# Table: secmatv1_2006_04_0809
# Stability threshold: 100
# Iteration threshold: 109
# 
# Columns: Iteration Stability Subkey0 ... Subkey7

0	0	0	0	0	0	0	0	0	0	
1	0	0	0	0	0	0	0	0	0	
2	0	6	8	18	26	11	29	1	59	
3	0	21	16	39	50	34	15	4	4	
4	0	54	59	42	9	34	15	24	16	
5	0	21	58	45	31	8	38	20	58	
6	0	21	5	45	7	8	5	35	58	
7	0	54	5	45	15	48	26	35	58	
8	0	8	5	35	15	50	55	33	7	
9	0	8	5	35	51	48	55	10	7	
10	0	53	47	8	13	36	55	51	6	
11	0	53	60	8	6	21	55	51	6	
12	0	53	50	8	28	45	3	51	6	
13	0	53	45	0	28	45	3	51	6	
14	0	15	15	30	8	21	31	10	63	
15	0	15	45	59	8	21	56	10	63	
16	0	15	50	59	8	13	21	22	63	
17	0	15	50	59	8	13	49	22	63	
18	0	15	47	7	29	17	13	39	63	
19	0	49	47	59	28	7	31	8	17	
20	0	19	41	60	20	13	21	4	48	
21	0	49	33	0	60	17	56	16	45	
22	0	19	50	30	35	60	60	48	50	
23	0	19	50	30	35	60	60	48	50	
24	0	49	33	30	21	10	31	16	45	
25	0	49	11	56	21	13	31	55	45	
26	0	49	50	13	20	17	45	63	45	
27	0	49	10	8	54	10	49	63	45	
28	0	49	29	47	38	28	45	63	45	
29	0	60	47	3	41	50	49	4	45	
30	0	60	47	3	41	50	49	4	45	
31	0	60	40	59	37	56	24	4	45	
32	0	49	29	24	46	24	49	33	45	
33	0	60	57	26	37	56	24	4	45	
34	0	60	57	26	37	56	24	4	45	
35	0	60	50	52	37	55	52	4	45	
36	0	49	42	24	40	59	52	33	45	
37	0	55	42	7	53	16	31	51	13	
38	0	55	42	7	53	16	31	51	13	
39	0	55	42	7	53	16	31	51	13	
40	0	55	36	29	45	12	24	51	13	
41	0	49	29	13	46	24	49	33	45	
42	0	49	57	24	58	1	32	33	45	
43	0	49	22	59	46	22	49	63	45	
44	0	49	22	32	46	22	49	63	45	
45	0	49	10	24	55	59	22	16	45	
46	0	49	10	4	55	11	49	16	45	
47	0	49	57	43	55	27	49	16	45	
48	0	49	29	13	46	24	49	33	45	
49	0	49	29	13	46	24	49	33	45	
50	0	49	57	47	46	24	52	33	45	
51	0	49	29	13	46	24	49	33	45	
52	0	49	29	13	46	24	49	33	45	
53	0	49	29	13	46	24	49	33	45	
54	0	49	54	59	55	19	49	55	44	
55	0	49	57	47	55	19	49	55	44	
56	0	49	29	13	46	24	49	33	45	
57	0	49	57	17	46	24	49	33	45	
58	0	49	57	17	46	24	49	33	45	
59	0	49	57	17	46	24	49	33	45	
60	0	49	57	17	46	24	49	33	45	
61	0	49	57	13	46	7	49	33	45	
62	0	49	57	17	46	24	49	33	45	
63	0	49	57	13	46	7	49	33	45	
64	0	49	57	47	46	7	49	33	45	
65	0	49	19	47	46	22	24	55	44	
66	0	60	31	26	46	22	24	16	44	
67	0	60	31	26	46	22	24	16	44	
