Stability threshold: 100
# Columns: [Iteration] | [Stability] | R1 [Subkey0] ... [Subkey7] | R16 [Subkey0] ... [Subkey7] 
# ** is not a search object
001 | 000 | 63 15 ** 54 ** 15 ** ** | 63 59 62 ** 63 63 61 63 
002 | 000 | 63 15 ** 38 ** 14 ** ** | 52 40 60 ** 57 58 61 63 
003 | 000 | 45 15 ** 38 ** 14 ** ** | 51 41 40 ** 49 58 61 05 
004 | 000 | 00 15 ** 38 ** 15 ** ** | 61 41 12 ** 22 58 61 40 
005 | 000 | 09 15 ** 38 ** 15 ** ** | 61 41 56 ** 22 28 61 40 
006 | 000 | 09 15 ** 38 ** 15 ** ** | 61 27 56 ** 22 50 61 44 
007 | 000 | 09 15 ** 38 ** 15 ** ** | 38 27 56 ** 22 50 60 44 
008 | 000 | 09 11 ** 38 ** 13 ** ** | 06 40 56 ** 22 50 61 44 
009 | 000 | 56 05 ** 38 ** 13 ** ** | 06 11 56 ** 22 50 61 44 
010 | 000 | 56 11 ** 38 ** 13 ** ** | 32 11 56 ** 22 22 61 44 
011 | 000 | 56 11 ** 38 ** 13 ** ** | 32 11 56 ** 22 50 61 44 
012 | 000 | 56 11 ** 38 ** 13 ** ** | 32 11 56 ** 22 50 61 44 
013 | 000 | 56 11 ** 38 ** 13 ** ** | 32 11 56 ** 22 50 16 44 
014 | 000 | 59 11 ** 38 ** 13 ** ** | 32 11 56 ** 22 50 16 44 
015 | 000 | 56 01 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
016 | 001 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
017 | 002 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
018 | 003 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
019 | 004 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
020 | 005 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
021 | 006 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
022 | 007 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
023 | 008 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
024 | 009 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
025 | 010 | 56 11 ** 38 ** 13 ** ** | 60 11 56 ** 22 50 16 44 
