Stability threshold: 100
# Columns: [Iteration] | [Stability] | 56bit Master Key
# * is not a search object
001 | 000 | 1111111_11111**_111*111_1*11111_11*1111_111*111_11111*1_1*11111
002 | 000 | 0111111_11111**_111*111_0*01011_11*0011_101*011_10101*1_0*11001
003 | 000 | 0101111_11111**_111*001_1*01011_01*0011_100*010_01000*1_1*11000
004 | 000 | 0111110_10001**_011*101_1*01101_10*0010_110*110_01001*1_0*10010
005 | 000 | 0111110_10101**_111*101_1*01100_01*0010_111*110_01001*0_0*10110
006 | 000 | 0111111_10100**_111*101_1*11101_01*1010_011*110_01001*1_0*10010
007 | 000 | 0111111_10100**_111*101_0*10101_01*1010_001*110_01001*1_1*00010
008 | 000 | 0111111_00100**_101*100_0*01101_01*0010_101*110_00001*1_1*00010
009 | 000 | 0011111_11100**_000*100_0*11101_01*0010_001*110_01101*1_1*00010
010 | 000 | 0101111_01100**_011*100_0*11101_01*0010_001*110_01101*0_0*00110
011 | 000 | 0101111_01100**_011*100_0*11101_01*0010_001*110_01101*1_0*00010
012 | 000 | 0101111_01100**_011*100_0*11101_01*0010_001*110_01101*1_0*00010
013 | 000 | 0100101_01100**_011*100_0*10101_01*0010_001*100_01101*1_0*00010
014 | 000 | 0100101_01100**_111*100_0*10101_01*0010_001*100_11101*1_0*00010
015 | 000 | 0010101_01100**_010*100_0*10101_01*0010_011*100_01101*1_0*10010
016 | 001 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
017 | 002 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
018 | 003 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
019 | 004 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
020 | 005 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
021 | 006 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
022 | 007 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
023 | 008 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
024 | 009 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
025 | 010 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
026 | 011 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
027 | 012 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
028 | 013 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
029 | 014 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
030 | 015 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
031 | 016 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
032 | 017 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
033 | 018 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
034 | 019 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
035 | 020 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
036 | 021 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
037 | 022 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
038 | 023 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
039 | 024 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
040 | 025 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
041 | 026 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
042 | 027 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
043 | 028 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
044 | 029 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
045 | 030 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
046 | 031 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
047 | 032 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
048 | 033 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
049 | 034 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
050 | 035 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
051 | 036 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
052 | 037 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
053 | 038 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
054 | 039 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
055 | 040 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
056 | 041 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
057 | 042 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
058 | 043 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
059 | 044 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
060 | 045 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
061 | 046 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
062 | 047 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
063 | 048 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
064 | 049 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
065 | 050 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
066 | 051 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
067 | 052 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
068 | 053 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
069 | 054 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
070 | 055 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
071 | 056 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
072 | 057 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
073 | 058 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
074 | 059 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
075 | 060 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
076 | 061 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
077 | 062 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
078 | 063 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
079 | 064 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
080 | 065 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
081 | 066 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
082 | 067 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
083 | 068 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
084 | 069 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
085 | 070 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
086 | 071 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
087 | 072 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
088 | 073 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
089 | 074 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
090 | 075 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
091 | 076 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
092 | 077 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
093 | 078 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
094 | 079 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
095 | 080 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
096 | 081 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
097 | 082 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
098 | 083 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
099 | 084 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
100 | 085 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
101 | 086 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
102 | 087 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
103 | 088 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
104 | 089 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
105 | 090 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
106 | 091 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
107 | 092 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
108 | 093 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
109 | 094 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
110 | 095 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
111 | 096 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
112 | 097 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
113 | 098 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
114 | 099 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
115 | 100 | 0110101_01100**_011*100_0*10101_01*0010_011*100_01101*1_0*10010
# Answer  | 0110101_0110010_0111100_0110101_0110010_0111100_0110101_0110010
